 [antenna_conf.dat]

      NSEG      NWIR      NFED     NLOAD           FREQ0          RAMDA0            USEF
       128        19         1         0      1000000000      0.29979246      1000000000

Segment
   NO.           SX           SY           SZ             RX             RY             RZ           SEGL             RA     RAD_MODE
     0   -0.0449689   -0.0449689    0.0000000       0.000000      -0.100000      -0.150000       0.000000       0.001000   -847407985
     1   -0.0449689   -0.0449689    0.0000000      -0.025000      -0.125000      -0.150000       0.000000       0.001000   1060349358
     2   -0.0449689   -0.0449689    0.0000000      -0.050000      -0.150000      -0.150000       0.000000       0.001000   -847407985
     3   -0.0449689   -0.0449689    0.0000000      -0.075000      -0.150000      -0.150000       0.000000       0.001000   1060349358
     4   -0.0449689   -0.0449689    0.0000000      -0.100000      -0.150000      -0.150000       0.001000       0.000000   -847407985
     5   -0.0449689   -0.0449689    0.0000000      -0.125000      -0.150000      -0.150000       0.001000       0.000000   1060349358
     6   -0.0449689   -0.0374741    0.0000000      -0.150000      -0.150000      -0.150000       0.001000       0.000000   -847407985
     7   -0.0449689   -0.0299792    0.0000000      -0.150000      -0.150000      -0.150000       0.001000       0.000000   1060349358
     8   -0.0449689   -0.0224844    0.0002998      -0.150000      -0.150000      -0.150000       0.000000       0.000000   -847407985
     9   -0.0449689   -0.0149896    0.0002998      -0.150000      -0.150000      -0.150000       0.000000       0.000000   1060349358
    10   -0.0374741   -0.0074948    0.0002998      -0.150000      -0.150000      -0.150000       0.000000       0.000000   -847407985
    11   -0.0299792    0.0000000    0.0002998      -0.150000      -0.150000      -0.150000       0.000000       0.000000   1060349358
    12   -0.0224844   -0.0000000    0.0000000      -0.150000      -0.150000      -0.150000       0.000000      -6.671282   -847407985
    13   -0.0149896    0.0074948    0.0000000      -0.150000      -0.150000      -0.150000       0.000000      -0.000000   1060349358
    14   -0.0074948    0.0149896    0.0000000      -0.150000      -0.150000      -0.125000       0.000000       0.001000   -847407985
    15    0.0000000    0.0224844    0.0000000      -0.150000      -0.150000      -0.100000       0.000000       0.001000   1060349358
    16   -0.0000000    0.0299792    0.0000000      -0.150000      -0.150000      -0.075000      -6.671282       0.001000   -847407985
    17    0.0074948    0.0374741    0.0000000      -0.150000      -0.150000      -0.050000      -0.000000       0.001000   1060349358
    18    0.0149896    0.0449689    0.0000000      -0.150000      -0.125000      -0.025000       0.001000       0.001000   -847407985
    19    0.0224844    0.0449689    0.0000000      -0.150000      -0.100000       0.000000       0.001000       0.001000   1060349358
    20    0.0299792    0.0449689   -2.0000000      -0.150000      -0.075000      -0.000000       0.001000       0.001000   -847407985
    21    0.0374741    0.0449689   -0.0000000      -0.150000      -0.050000       0.025000       0.001000       0.001000   1060349358
    22    0.0449689    0.0449689    0.0002998      -0.125000      -0.025000       0.050000       0.001000       0.001000   -847407985
    23    0.0449689    0.0449689    0.0002998      -0.100000       0.000000       0.075000       0.001000       0.001000   1060349358
    24    0.0449689    0.0449689    0.0002998      -0.075000      -0.000000       0.100000       0.001000       0.001000   -847407985
    25    0.0449689    0.0449689    0.0002998      -0.050000       0.025000       0.125000       0.001000       0.001000   1060349358
    26    0.0449689    0.0449689    0.0002998      -0.025000       0.050000       0.150000       0.001000       0.001000   -847407985
    27    0.0449689    0.0449689    0.0002998       0.000000       0.075000       0.150000       0.001000       0.001000   1060349358
    28    0.0449689    0.0449689    0.0002998      -0.000000       0.100000       0.150000       0.001000       0.001000   -847407985
    29    0.0449689    0.0449689    0.0002998       0.025000       0.125000       0.150000       0.001000       0.001000   1060349358
    30    0.0449689    0.0449689    0.0002998       0.050000       0.150000       0.150000       0.001000       0.001000   -847407985
    31    0.0449689    0.0449689    0.0002998       0.075000       0.150000       0.150000       0.001000       0.001000   1060349358
    32    0.0449689    0.0449689    0.0002998       0.100000       0.150000       0.150000       0.001000       0.001000   -847407985
    33    0.0449689    0.0449689    0.0002998       0.125000       0.150000       0.150000       0.001000       0.001000   1060349358
    34    0.0449689    0.0374741    0.0002998       0.150000       0.150000       0.150000       0.001000       0.001000   -847407985
    35    0.0449689    0.0299792    0.0002998       0.150000       0.150000       0.150000       0.001000       0.001000   1060349358
    36    0.0449689    0.0224844    0.0002998       0.150000       0.150000       0.150000       0.001000       0.001000   -847407985
    37    0.0449689    0.0149896    0.0002998       0.150000       0.150000       0.150000       0.001000       0.001000   1060349358
    38    0.0374741    0.0074948    0.0002998       0.150000       0.150000       0.150000       0.001000       0.001000   -847407985
    39    0.0299792   -0.0000000    0.0002998       0.150000       0.150000       0.150000       0.001000       0.001000   1060349358
    40    0.0224844    0.0000000    0.0002998       0.150000       0.150000       0.150000       0.001000       0.001000   -847407985
    41    0.0149896    0.0000000    0.0002998       0.150000       0.150000       0.150000       0.001000       0.001000   1060349358
    42    0.0074948    0.0000000    0.0002998       0.150000       0.150000       0.125000       0.001000       0.001000   -847407985
    43   -0.0000000    0.0000000    0.0002998       0.150000       0.150000       0.100000       0.001000       0.001000   1060349358
    44    0.0000000    0.0000000    0.0002998       0.150000       0.150000       0.075000       0.001000       0.001000   -847407985
    45    0.0000000    0.0000000    0.0002998       0.150000       0.150000       0.050000       0.001000       0.001000   1060349358
    46    0.0000000   -0.0074948    0.0002998       0.150000       0.125000       0.025000       0.001000       0.001000   -847407985
    47    0.0000000   -0.0149896    0.0002998       0.150000       0.100000      -0.000000       0.001000       0.001000   1060349358
    48    0.0000000   -0.0224844    0.0002998       0.150000       0.075000       0.000000       0.001000       0.001000   -847407985
    49    0.0000000   -0.0299792    0.0002998       0.150000       0.050000       0.000000       0.001000       0.001000   1060349358
    50   -0.0074948   -0.0374741    0.0002998       0.125000       0.025000       0.000000       0.001000       0.001000   -847407985
    51   -0.0149896   -0.0449689    0.0002998       0.100000      -0.000000       0.000000       0.001000       0.001000   1060349358
    52   -0.0224844   -0.0449689    0.0002998       0.075000       0.000000       0.000000       0.001000       0.001000   -847407985
    53   -0.0299792   -0.0449689    0.0002998       0.050000       0.000000       0.000000       0.001000       0.001000   1060349358
    54   -0.0374741   -0.0449689    0.0002998       0.025000       0.000000      -0.025000       0.001000       0.001000   -847407985
    55   -0.0449689   -0.0449689    0.0002998      -0.000000       0.000000      -0.050000       0.001000       0.001000   1060349358
    56   -0.0449689   -0.0449689    0.0002998       0.000000       0.000000      -0.075000       0.001000       0.001000   -847407985
    57   -0.0449689   -0.0449689    0.0002998       0.000000       0.000000      -0.100000       0.001000       0.001000   1060349358
    58   -0.0449689   -0.0449689    0.0002998       0.000000      -0.025000      -0.125000       0.001000       0.001000   -847407985
    59   -0.0449689   -0.0449689    0.0002998       0.000000      -0.050000      -0.150000       0.001000       0.001000   1060349358
    60   -0.0449689   -0.0449689    0.0002998       0.000000      -0.075000      -0.150000       0.001000       0.001000   -847407985
    61   -0.0449689   -0.0449689    0.0002998       0.000000      -0.100000      -0.150000       0.001000       0.001000   1060349358
    62   -0.0449689   -0.0449689    0.0002998      -0.025000      -0.125000      -0.150000       0.001000       0.001000   -847407985
    63   -0.0449689   -0.0449689    0.0002998      -0.050000      -0.150000      -0.150000       0.001000       0.001000   1060349358
    64   -0.0449689   -0.0449689    0.0002998      -0.075000      -0.150000      -0.150000       0.001000       0.001000   -847407985
    65   -0.0449689   -0.0449689    0.0002998      -0.100000      -0.150000      -0.150000       0.001000       0.001000   1060349358
    66   -0.0449689   -0.0449689    0.0002998      -0.125000      -0.150000      -0.150000       0.001000       0.001000   -847407985
    67   -0.0449689   -0.0374741    0.0002998      -0.150000      -0.150000      -0.150000       0.001000       0.001000   1060349358
    68   -0.0449689   -0.0299792    0.0002998      -0.150000      -0.150000      -0.150000       0.001000       0.001000   -847407985
    69   -0.0449689   -0.0224844    0.0002998      -0.150000      -0.150000      -0.150000       0.001000       0.001000   1060349358
    70   -0.0449689   -0.0149896    0.0002998      -0.150000      -0.150000      -0.150000       0.001000       0.001000   -847407985
    71   -0.0374741   -0.0074948    0.0002998      -0.150000      -0.150000      -0.150000       0.001000       0.001000   1060349358
    72   -0.0299792    0.0000000    0.0002998      -0.150000      -0.150000      -0.150000       0.001000       0.001000   -847407985
    73   -0.0224844   -0.0000000    0.0002998      -0.150000      -0.150000      -0.150000       0.001000       0.001000   1060349358
    74   -0.0149896    0.0074948    0.0002998      -0.150000      -0.150000      -0.150000       0.001000       0.001000   -847407985
    75   -0.0074948    0.0149896    0.0002998      -0.150000      -0.150000      -0.125000       0.001000       0.001000   1060349358
    76    0.0000000    0.0224844    0.0002998      -0.150000      -0.150000      -0.100000       0.001000       0.001000   -847407985
    77   -0.0000000    0.0299792    0.0002998      -0.150000      -0.150000      -0.075000       0.001000       0.001000   1060349358
    78    0.0074948    0.0374741    0.0002998      -0.150000      -0.150000      -0.050000       0.001000       0.001000   -847407985
    79    0.0149896    0.0449689    0.0002998      -0.150000      -0.125000      -0.025000       0.001000       0.001000   1060349358
    80    0.0224844    0.0449689    0.0002998      -0.150000      -0.100000       0.000000       0.001000       0.001000   -847407985
    81    0.0299792    0.0449689    0.0002998      -0.150000      -0.075000      -0.000000       0.001000       0.001000   1060349358
    82    0.0374741    0.0449689    0.0002998      -0.150000      -0.050000       0.025000       0.001000       0.001000   -847407985
    83    0.0449689    0.0449689    0.0002998      -0.125000      -0.025000       0.050000       0.001000       0.001000   1060349358
    84    0.0449689    0.0449689    0.0002998      -0.100000       0.000000       0.075000       0.001000       0.001000   -847407985
    85    0.0449689    0.0449689    0.0002998      -0.075000      -0.000000       0.100000       0.001000       0.001000   1060349358
    86    0.0449689    0.0449689    0.0002998      -0.050000       0.025000       0.125000       0.001000       0.001000   -847407985
    87    0.0449689    0.0449689    0.0002998      -0.025000       0.050000       0.150000       0.001000       0.001000   1060349358
    88    0.0449689    0.0449689    0.0002998       0.000000       0.075000       0.150000       0.001000       0.001000   -847407985
    89    0.0449689    0.0449689    0.0002998      -0.000000       0.100000       0.150000       0.001000       0.001000   1060349358
    90    0.0449689    0.0449689    0.0002998       0.025000       0.125000       0.150000       0.001000       0.001000   -847407985
    91    0.0449689    0.0449689    0.0002998       0.050000       0.150000       0.150000       0.001000       0.001000   1060349358
    92    0.0449689    0.0449689    0.0002998       0.075000       0.150000       0.150000       0.001000       0.001000   -847407985
    93    0.0449689    0.0449689    0.0002998       0.100000       0.150000       0.150000       0.001000       0.001000   1060349358
    94    0.0449689    0.0449689    0.0002998       0.125000       0.150000       0.150000       0.001000       0.001000   -847407985
    95    0.0449689    0.0374741    0.0002998       0.150000       0.150000       0.150000       0.001000       0.001000   1060349358
    96    0.0449689    0.0299792    0.0002998       0.150000       0.150000       0.150000       0.001000       0.001000   -847407985
    97    0.0449689    0.0224844    0.0002998       0.150000       0.150000       0.150000       0.001000       0.001000   1060349358
    98    0.0449689    0.0149896    0.0002998       0.150000       0.150000       0.150000       0.001000       0.001000   -847407985
    99    0.0374741    0.0074948    0.0002998       0.150000       0.150000       0.150000       0.001000       0.001000   1060349358
   100    0.0299792   -0.0000000    0.0002998       0.150000       0.150000       0.150000       0.001000       0.001000   -847407985
   101    0.0224844    0.0000000    0.0002998       0.150000       0.150000       0.150000       0.001000       0.001000   1060349358
   102    0.0149896    0.0000000    0.0002998       0.150000       0.150000       0.150000       0.001000       0.001000   -847407985
   103    0.0074948    0.0000000    0.0002998       0.150000       0.150000       0.125000       0.001000       0.001000   1060349358
   104   -0.0000000    0.0000000    0.0002998       0.150000       0.150000       0.100000       0.001000       0.001000   -847407985
   105    0.0000000    0.0000000    0.0002998       0.150000       0.150000       0.075000       0.001000       0.001000   1060349358
   106    0.0000000   -0.0449689    0.0002998       0.150000       0.150000       0.050000       0.001000       0.001000   -847407985
   107    0.0000000   -0.0449689    0.0002998       0.150000       0.125000       0.025000       0.001000       0.001000   1060349358
   108    0.0000000   -0.0449689    0.0002998       0.150000       0.100000      -0.000000       0.001000       0.001000   -847407985
   109    0.0000000   -0.0449689    0.0002998       0.150000       0.075000       0.000000       0.001000       0.001000   1060349358
   110   -0.0449689   -0.0449689    0.0002998       0.150000       0.050000       0.000000       0.001000       0.001000   -847407985
   111   -0.0449689   -0.0449689    0.0002998       0.125000       0.025000       0.000000       0.001000       0.001000   1060349358
   112   -0.0449689   -0.0449689    0.0002998       0.100000      -0.000000       0.000000       0.001000       0.001000   -847407985
   113   -0.0449689   -0.0449689    0.0002998       0.075000       0.000000       0.000000       0.001000       0.001000   1060349358
   114   -0.0449689   -0.0449689    0.0002998       0.050000       0.000000      -0.150000       0.001000       0.001000   -847407985
   115   -0.0449689   -0.0449689    0.0002998       0.025000       0.000000      -0.150000       0.001000       0.001000   1060349358
   116   -0.0449689   -0.0074948    0.0002998      -0.000000       0.000000      -0.150000       0.001000       0.001000   -847407985
   117   -0.0449689   -0.0149896    0.0002998       0.000000       0.000000      -0.150000       0.001000       0.001000   1060349358
   118   -0.0449689   -0.0224844    0.0002998       0.000000      -0.150000      -0.150000       0.001000       0.001000   -847407985
   119   -0.0449689    0.0000000    0.0002998       0.000000      -0.150000      -0.150000      
