 [antenna_current.dat]

     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
     1   0.00002335   0.00013298   0.00013501        80.04
     2   0.00002558   0.00009744   0.00010074        75.29
     3   0.00002648   0.00006854   0.00007348        68.88
     4   0.00002569   0.00007092   0.00007543        70.08
     5   0.00002333   0.00008385   0.00008704        74.45
     6   0.00001913   0.00010297   0.00010473        79.48
     7   0.00001442   0.00012446   0.00012530        83.39
     8   0.00001061   0.00014475   0.00014514        85.81
     9   0.00000750   0.00016166   0.00016184        87.34
    10   0.00000507   0.00017429   0.00017436        88.33
    11   0.00000426   0.00018279   0.00018284        88.67
    12   0.00000511   0.00018577   0.00018584        88.42
    13   0.00000747   0.00018218   0.00018233        87.65
    14   0.00001148   0.00017347   0.00017385        86.21
    15   0.00001604   0.00016148   0.00016228        84.33
    16   0.00002008   0.00014766   0.00014901        82.26
    17  -0.00016753  -0.00017263   0.00024056      -134.14
    18  -0.00000127  -0.00000389   0.00000410      -108.05
    19   0.00002577  -0.00275029   0.00275041       -89.46
    20   0.00002836  -0.00216869   0.00216887       -89.25
    21   0.00002945  -0.00120093   0.00120129       -88.60
    22   0.00002862  -0.00220053   0.00220071       -89.25
    23   0.00002600  -0.00276995   0.00277007       -89.46
    24   0.00002131  -0.00323440   0.00323447       -89.62
    25   0.00001603  -0.00361549   0.00361553       -89.75
    26   0.00001173  -0.00393198   0.00393199       -89.83
    27   0.00000820  -0.00416526   0.00416526       -89.89
    28   0.00000540  -0.00430557   0.00430557       -89.93
    29   0.00000441  -0.00435522   0.00435522       -89.94
    30   0.00000532  -0.00431693   0.00431694       -89.93
    31   0.00000791  -0.00419237   0.00419238       -89.89
    32   0.00001239  -0.00398799   0.00398801       -89.82
    33   0.00001752  -0.00369718   0.00369723       -89.73
    34   0.00002205  -0.00327670   0.00327677       -89.61
    35  -0.00018104  -0.00037631   0.00041760      -115.69
    36  -0.00000137  -0.00015601   0.00015602       -90.50
    37   0.00000205   0.00009662   0.00009664        88.78
    38   0.00002427  -0.00001495   0.00002851       -31.62
    39   0.00002460   0.00005514   0.00006038        65.96
    40   0.00002494   0.00012133   0.00012387        78.39
    41   0.00002466  -0.00012573   0.00012813       -78.90



     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
     1   0.00002341   0.00011452   0.00011689        78.45
     2   0.00002565   0.00008287   0.00008675        72.80
     3   0.00002656   0.00005666   0.00006258        64.89
     4   0.00002579   0.00005806   0.00006353        66.05
     5   0.00002342   0.00006839   0.00007229        71.10
     6   0.00001922   0.00008435   0.00008651        77.16
     7   0.00001451   0.00010260   0.00010362        81.95
     8   0.00001068   0.00011986   0.00012034        84.91
     9   0.00000756   0.00013453   0.00013474        86.78
    10   0.00000512   0.00014584   0.00014593        87.99
    11   0.00000429   0.00015369   0.00015375        88.40
    12   0.00000514   0.00015684   0.00015692        88.12
    13   0.00000749   0.00015446   0.00015464        87.23
    14   0.00001150   0.00014766   0.00014811        85.55
    15   0.00001607   0.00013805   0.00013898        83.36
    16   0.00002011   0.00012684   0.00012843        80.99
    17  -0.00016728  -0.00015390   0.00022731      -137.39
    18  -0.00000126  -0.00000330   0.00000353      -110.93
    19   0.00002628  -0.00274710   0.00274722       -89.45
    20   0.00002895  -0.00216670   0.00216690       -89.23
    21   0.00003009  -0.00120049   0.00120087       -88.56
    22   0.00002926  -0.00219925   0.00219945       -89.24
    23   0.00002659  -0.00276857   0.00276870       -89.45
    24   0.00002181  -0.00323294   0.00323302       -89.61
    25   0.00001643  -0.00361393   0.00361397       -89.74
    26   0.00001202  -0.00393023   0.00393025       -89.82
    27   0.00000840  -0.00416337   0.00416338       -89.88
    28   0.00000553  -0.00430364   0.00430365       -89.93
    29   0.00000450  -0.00435323   0.00435323       -89.94
    30   0.00000540  -0.00431487   0.00431487       -89.93
    31   0.00000804  -0.00419028   0.00419029       -89.89
    32   0.00001260  -0.00398588   0.00398590       -89.82
    33   0.00001783  -0.00369494   0.00369499       -89.72
    34   0.00002247  -0.00327428   0.00327436       -89.61
    35  -0.00018334  -0.00037898   0.00042100      -115.82
    36  -0.00000138  -0.00015602   0.00015603       -90.51
    37   0.00000173   0.00009587   0.00009589        88.97
    38   0.00002604  -0.00001555   0.00003033       -30.85
    39   0.00002638   0.00005584   0.00006176        64.71
    40   0.00002675   0.00012513   0.00012796        77.93
    41   0.00002647  -0.00012491   0.00012768       -78.03



     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
     1   0.00002337   0.00009943   0.00010214        76.77
     2   0.00002562   0.00007095   0.00007543        70.15
     3   0.00002653   0.00004701   0.00005398        60.56
     4   0.00002577   0.00004769   0.00005421        61.62
     5   0.00002342   0.00005608   0.00006077        67.33
     6   0.00001924   0.00006959   0.00007220        74.55
     7   0.00001455   0.00008530   0.00008654        80.32
     8   0.00001073   0.00010019   0.00010076        83.89
     9   0.00000762   0.00011306   0.00011332        86.15
    10   0.00000517   0.00012330   0.00012341        87.60
    11   0.00000434   0.00013061   0.00013068        88.10
    12   0.00000517   0.00013383   0.00013393        87.79
    13   0.00000750   0.00013235   0.00013256        86.76
    14   0.00001149   0.00012701   0.00012753        84.83
    15   0.00001605   0.00011921   0.00012028        82.33
    16   0.00002008   0.00010997   0.00011179        79.65
    17  -0.00016641  -0.00013632   0.00021512      -140.68
    18  -0.00000125  -0.00000281   0.00000308      -113.95
    19   0.00002675  -0.00274429   0.00274442       -89.44
    20   0.00002949  -0.00216501   0.00216521       -89.22
    21   0.00003067  -0.00120032   0.00120071       -88.54
    22   0.00002984  -0.00219833   0.00219854       -89.22
    23   0.00002713  -0.00276762   0.00276776       -89.44
    24   0.00002227  -0.00323197   0.00323205       -89.61
