 [antenna_current.dat]

     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
     1   0.00504459  -0.00342739   0.00609877       -34.19
     2  -0.00018460  -0.00525901   0.00526225       -92.01
     3  -0.00074002  -0.00530938   0.00536070       -97.93
     4  -0.00129941  -0.00528726   0.00544459      -103.81
     5  -0.00185972  -0.00519470   0.00551756      -109.70
     6  -0.00240334  -0.00503059   0.00557520      -115.54
     7  -0.00291901  -0.00479695   0.00561528      -121.32
     8  -0.00339639  -0.00449707   0.00563552      -127.06
     9  -0.00382659  -0.00413554   0.00563431      -132.78
    10  -0.00420194  -0.00371800   0.00561069      -138.50
    11  -0.00451602  -0.00325105   0.00556451      -144.25
    12  -0.00476361  -0.00274201   0.00549642      -150.07
    13  -0.00494075  -0.00219886   0.00540796      -156.01
    14  -0.00504475  -0.00163003   0.00530156      -162.09
    15  -0.00507416  -0.00104428   0.00518051      -168.37
    16  -0.00502881  -0.00045054   0.00504895      -174.88
    17  -0.00490972   0.00014221   0.00491178      -181.66
    18  -0.00471913   0.00072513   0.00477451      -188.74
    19  -0.00446036   0.00128960   0.00464305      -196.13
    20  -0.00413781   0.00182740   0.00452337      -203.83
    21  -0.00375681   0.00233081   0.00442113      -211.82
    22  -0.00332358   0.00279273   0.00434114      -220.04
    23  -0.00284504   0.00320676   0.00428691      -228.42
    24  -0.00232876   0.00356734   0.00426017      -236.86
    25  -0.00178280   0.00386977   0.00426070      -245.26
    26  -0.00121557   0.00411031   0.00428629      -253.53
    27  -0.00063568   0.00428622   0.00433310      -261.56
    28  -0.00005184   0.00439578   0.00439609      -269.32
    29   0.00052732   0.00443833   0.00446954      -276.78
    30   0.00109336   0.00441425   0.00454764      -283.91
    31   0.00163819   0.00432500   0.00462486      -290.75
    32   0.00215415   0.00417306   0.00469625      -297.30
    33   0.00263419   0.00396190   0.00475769      -303.62
    34   0.00307192   0.00369600   0.00480595      -309.73
    35   0.00346174   0.00338081   0.00483876      -315.68
    36   0.00379891   0.00302273   0.00485475      -321.49
    37   0.00407967   0.00262915   0.00485347      -327.20
    38   0.00430124   0.00220855   0.00483512      -332.82
    39   0.00446202   0.00177081   0.00480056      -338.35
    40   0.00456146   0.00132687   0.00475052      -343.78
    41   0.00460126   0.00089351   0.00468721      -349.01
    42   0.00458092   0.00047576   0.00460556      -354.07
    43   0.00452636   0.00018085   0.00452997         2.29
    44   0.00682823  -0.00208794   0.00714032       -17.00
    45   0.00659007  -0.00243652   0.00702608       -20.29
    46   0.00627220  -0.00275558   0.00685081       -23.72
    47   0.00588716  -0.00303990   0.00662568       -27.31
    48   0.00543714  -0.00327788   0.00634878       -31.08
    49   0.00480140   0.00174534   0.00510879        19.98
    50   0.00449667   0.00165020   0.00478991        20.15
    51   0.00388583   0.00145225   0.00414834        20.49
    52   0.00318250   0.00121208   0.00340550        20.85
    53   0.00235619   0.00091509   0.00252765        21.22
    54   0.00150350   0.00059669   0.00161758        21.65
    55  -0.00504459   0.00342739   0.00609877       145.81
    56   0.00018460   0.00525901   0.00526225        87.99
    57   0.00074002   0.00530938   0.00536070        82.07
    58   0.00129941   0.00528726   0.00544459        76.19
    59   0.00185972   0.00519470   0.00551756        70.30
    60   0.00240334   0.00503059   0.00557520        64.46
    61   0.00291901   0.00479695   0.00561528        58.68
    62   0.00339639   0.00449707   0.00563552        52.94
    63   0.00382659   0.00413554   0.00563431        47.22
    64   0.00420194   0.00371800   0.00561069        41.50
    65   0.00451602   0.00325105   0.00556451        35.75
    66   0.00476361   0.00274201   0.00549642        29.93
    67   0.00494075   0.00219886   0.00540796        23.99
    68   0.00504475   0.00163003   0.00530156        17.91
    69   0.00507416   0.00104428   0.00518051        11.63
    70   0.00502881   0.00045054   0.00504895         5.12
    71   0.00490972  -0.00014221   0.00491178        -1.66
    72   0.00471913  -0.00072513   0.00477451        -8.74
    73   0.00446036  -0.00128960   0.00464305       -16.13
    74   0.00413781  -0.00182740   0.00452337       -23.83
    75   0.00375681  -0.00233081   0.00442113       -31.82
    76   0.00332358  -0.00279273   0.00434114       -40.04
    77   0.00284504  -0.00320676   0.00428691       -48.42
    78   0.00232876  -0.00356734   0.00426017       -56.86
    79   0.00178280  -0.00386977   0.00426070       -65.26
    80   0.00121557  -0.00411031   0.00428629       -73.53
    81   0.00063568  -0.00428622   0.00433310       -81.56
    82   0.00005184  -0.00439578   0.00439609       -89.32
    83  -0.00052732  -0.00443833   0.00446954       -96.78
    84  -0.00109336  -0.00441425   0.00454764      -103.91
    85  -0.00163819  -0.00432500   0.00462486      -110.75
    86  -0.00215415  -0.00417306   0.00469625      -117.30
    87  -0.00263419  -0.00396190   0.00475769      -123.62
    88  -0.00307192  -0.00369600   0.00480595      -129.73
    89  -0.00346174  -0.00338081   0.00483876      -135.68
    90  -0.00379891  -0.00302273   0.00485475      -141.49
    91  -0.00407967  -0.00262915   0.00485347      -147.20
    92  -0.00430124  -0.00220855   0.00483512      -152.82
    93  -0.00446202  -0.00177081   0.00480056      -158.35
    94  -0.00456146  -0.00132687   0.00475052      -163.78
    95  -0.00460126  -0.00089351   0.00468721      -169.01
    96  -0.00458092  -0.00047576   0.00460556      -174.07
    97  -0.00452636  -0.00018085   0.00452997      -177.71
    98  -0.00682823   0.00208794   0.00714032      -197.00
    99  -0.00659007   0.00243652   0.00702608      -200.29
   100  -0.00627220   0.00275558   0.00685081      -203.72
   101  -0.00588716   0.00303990   0.00662568      -207.31
   102  -0.00543714   0.00327788   0.00634878      -211.08
   103  -0.00480140  -0.00174534   0.00510879      -160.02
   104  -0.00449667  -0.00165020   0.00478991      -159.85
   105  -0.00388583  -0.00145225   0.00414834      -159.51
   106  -0.00318250  -0.00121208   0.00340550      -159.15
   107  -0.00235619  -0.00091509   0.00252765      -158.78
   108  -0.00150350  -0.00059669   0.00161758      -158.35
   109   0.00242966  -0.00199701   0.00314504       -39.42
   110   0.00247444  -0.00177368   0.00304446       -35.63
   111   0.00254494  -0.00130141   0.00285839       -27.08
   112   0.00259943  -0.00074339   0.00270364       -15.96
   113   0.00264089  -0.00001582   0.00264094        -0.34
   114   0.00266645   0.00060262   0.00273370        12.73
   115   0.00267513   0.00298143   0.00400565        48.10
   116   0.00266645   0.00060262   0.00273370        12.73
   117   0.00264089  -0.00001582   0.00264094        -0.34
   118   0.00259943  -0.00074339   0.00270364       -15.96
   119   0.00254494  -0.00130141   0.00285839       -27.08
   120   0.00247444  -0.00177368   0.00304446       -35.63
   121   0.00242966  -0.00199701   0.00314504       -39.42



