 [antenna_field.dat]

  É” = 0.000 Åãplane
   --    >>-------   -------   --EÉ”--   -------   -------<< ** >>-------   -------   --EÉ∆--   -------   -------<< ** >>-------   --------<<
 É∆(deg)   FRAD.re   FRAD.im    |FRAD|    FPHASE  FGAI(dB)   **   TRAD.re   TRAD.im    |TRAD|    TPHASE  TGAI(dB)   ** TFGAI(dB)    TPHASE
 -90.000  -0.00000  -0.00000   0.00000  -134.492  -60.0000   **  -0.02680  -0.12061   0.12355  -102.529   -7.2079   **   -7.2079   -31.9637 
 -89.000  -0.00216  -0.00700   0.00732  -107.133  -31.7544   **  -0.02664  -0.12064   0.12355  -102.453   -7.2081   **   -7.1929    -4.6804 
 -88.000  -0.00431  -0.01399   0.01464  -107.137  -25.7323   **  -0.02616  -0.12074   0.12354  -102.224   -7.2085   **   -7.1479    -4.9125 
 -87.000  -0.00648  -0.02099   0.02197  -107.143  -22.2079   **  -0.02536  -0.12091   0.12354  -101.844   -7.2088   **   -7.0736    -5.2992 
 -86.000  -0.00864  -0.02800   0.02931  -107.152  -19.7057   **  -0.02423  -0.12114   0.12354  -101.312   -7.2087   **   -6.9709    -5.8398 
 -85.000  -0.01082  -0.03502   0.03665  -107.163  -17.7630   **  -0.02279  -0.12144   0.12356  -100.629   -7.2075   **   -6.8412    -6.5338 
 -84.000  -0.01300  -0.04205   0.04401  -107.177  -16.1739   **  -0.02103  -0.12180   0.12360   -99.797   -7.2043   **   -6.6859    -7.3799 
 -83.000  -0.01519  -0.04908   0.05138  -107.193  -14.8286   **  -0.01896  -0.12223   0.12369   -98.816   -7.1982   **   -6.5068    -8.3766 
 -82.000  -0.01739  -0.05614   0.05877  -107.211  -13.6615   **  -0.01657  -0.12272   0.12383   -97.690   -7.1880   **   -6.3058    -9.5214 
 -81.000  -0.01960  -0.06321   0.06618  -107.232  -12.6303   **  -0.01387  -0.12327   0.12405   -96.420   -7.1726   **   -6.0849   -10.8111 
 -80.000  -0.02183  -0.07030   0.07361  -107.254  -11.7061   **  -0.01087  -0.12389   0.12437   -95.013   -7.1504   **   -5.8462   -12.2415 
 -79.000  -0.02408  -0.07740   0.08106  -107.279  -10.8684   **  -0.00756  -0.12457   0.12480   -93.472   -7.1202   **   -5.5916   -13.8072 
 -78.000  -0.02634  -0.08453   0.08854  -107.306  -10.1020   **  -0.00395  -0.12532   0.12538   -91.805   -7.0802   **   -5.3231   -15.5011 
 -77.000  -0.02862  -0.09168   0.09604  -107.336   -9.3954   **  -0.00004  -0.12612   0.12612   -90.020   -7.0291   **   -5.0427   -17.3151 
 -76.000  -0.03092  -0.09885   0.10358  -107.367   -8.7396   **   0.00415  -0.12698   0.12705   -88.127   -6.9654   **   -4.7522   -19.2393 
 -75.000  -0.03323  -0.10605   0.11114  -107.400   -8.1275   **   0.00864  -0.12790   0.12819   -86.137   -6.8876   **   -4.4532   -21.2622 
 -74.000  -0.03557  -0.11327   0.11873  -107.434   -7.5536   **   0.01340  -0.12887   0.12957   -84.063   -6.7947   **   -4.1473   -23.3710 
 -73.000  -0.03793  -0.12052   0.12635  -107.471   -7.0131   **   0.01844  -0.12990   0.13121   -81.919   -6.6855   **   -3.8359   -25.5515 
 -72.000  -0.04032  -0.12780   0.13401  -107.509   -6.5021   **   0.02376  -0.13099   0.13313   -79.720   -6.5594   **   -3.5204   -27.7885 
 -71.000  -0.04272  -0.13510   0.14169  -107.548   -6.0176   **   0.02934  -0.13213   0.13534   -77.482   -6.4159   **   -3.2019   -30.0664 
 -70.000  -0.04515  -0.14243   0.14941  -107.589   -5.5568   **   0.03517  -0.13331   0.13787   -75.220   -6.2550   **   -2.8816   -32.3691 
 -69.000  -0.04760  -0.14979   0.15717  -107.631   -5.1173   **   0.04126  -0.13455   0.14073   -72.951   -6.0767   **   -2.5603   -34.6807 
 -68.000  -0.05008  -0.15717   0.16496  -107.675   -4.6973   **   0.04760  -0.13583   0.14393   -70.689   -5.8816   **   -2.2389   -36.9858 
