 [antenna_pattern.dat]

  É” = 0.000 Åãplane
   É∆(deg)       EÉ”       EÉ∆       ER        EL 
   -90.000  -30.0000  -13.2941  -19.2824  -19.2824
   -89.000  -30.0000  -13.2943  -19.2257  -19.3094
   -88.000  -30.0000  -13.2947  -19.1363  -19.3102
   -87.000  -28.2942  -13.2951  -19.0120  -19.2887
   -86.000  -25.7919  -13.2949  -18.8514  -19.2486
   -85.000  -23.8492  -13.2937  -18.6543  -19.1939
   -84.000  -22.2602  -13.2905  -18.4214  -19.1281
   -83.000  -20.9149  -13.2844  -18.1547  -19.0544
   -82.000  -19.7477  -13.2742  -17.8566  -18.9759
   -81.000  -18.7165  -13.2588  -17.5306  -18.8949
   -80.000  -17.7923  -13.2367  -17.1803  -18.8138
   -79.000  -16.9546  -13.2064  -16.8095  -18.7342
   -78.000  -16.1882  -13.1665  -16.4221  -18.6578
   -77.000  -15.4816  -13.1154  -16.0217  -18.5858
   -76.000  -14.8258  -13.0516  -15.6119  -18.5193
   -75.000  -14.2138  -12.9739  -15.1956  -18.4589
   -74.000  -13.6398  -12.8809  -14.7755  -18.4055
   -73.000  -13.0993  -12.7718  -14.3540  -18.3594
   -72.000  -12.5884  -12.6457  -13.9330  -18.3211
   -71.000  -12.1039  -12.5022  -13.5141  -18.2909
   -70.000  -11.6430  -12.3412  -13.0988  -18.2689
   -69.000  -11.2036  -12.1629  -12.6881  -18.2554
   -68.000  -10.7836  -11.9678  -12.2829  -18.2504
   -67.000  -10.3813  -11.7568  -11.8839  -18.2539
   -66.000   -9.9953  -11.5308  -11.4917  -18.2661
   -65.000   -9.6243  -11.2911  -11.1065  -18.2869
   -64.000   -9.2672  -11.0391  -10.7288  -18.3163
   -63.000   -8.9230  -10.7764  -10.3588  -18.3542
   -62.000   -8.5908  -10.5045   -9.9965  -18.4007
   -61.000   -8.2698  -10.2249   -9.6421  -18.4557
   -60.000   -7.9594   -9.9392   -9.2957  -18.5192
   -59.000   -7.6590   -9.6488   -8.9571  -18.5911
   -58.000   -7.3679   -9.3551   -8.6264  -18.6713
   -57.000   -7.0858   -9.0594   -8.3035  -18.7599
   -56.000   -6.8121   -8.7629   -7.9883  -18.8568
   -55.000   -6.5466   -8.4665   -7.6809  -18.9619
   -54.000   -6.2887   -8.1713   -7.3809  -19.0753
   -53.000   -6.0382   -7.8781   -7.0885  -19.1969
   -52.000   -5.7949   -7.5875   -6.8034  -19.3267
   -51.000   -5.5584   -7.3002   -6.5255  -19.4648
   -50.000   -5.3284   -7.0168   -6.2548  -19.6110
   -49.000   -5.1049   -6.7377   -5.9911  -19.7655
   -48.000   -4.8875   -6.4634   -5.7343  -19.9283
   -47.000   -4.6761   -6.1940   -5.4843  -20.0994
   -46.000   -4.4706   -5.9300   -5.2410  -20.2789
   -45.000   -4.2707   -5.6715   -5.0043  -20.4668
   -44.000   -4.0763   -5.4186   -4.7740  -20.6632
   -43.000   -3.8874   -5.1717   -4.5501  -20.8683
   -42.000   -3.7037   -4.9307   -4.3325  -21.0820
   -41.000   -3.5252   -4.6957   -4.1211  -21.3046
   -40.000   -3.3518   -4.4669   -3.9158  -21.5361
   -39.000   -3.1834   -4.2441   -3.7165  -21.7768
   -38.000   -3.0199   -4.0276   -3.5231  -22.0268
   -37.000   -2.8612   -3.8172   -3.3356  -22.2863
   -36.000   -2.7073   -3.6129   -3.1538  -22.5555
   -35.000   -2.5580   -3.4148   -2.9776  -22.8348
   -34.000   -2.4134   -3.2229   -2.8071  -23.1243
   -33.000   -2.2733   -3.0370   -2.6422  -23.4245
   -32.000   -2.1377   -2.8572   -2.4827  -23.7356
   -31.000   -2.0067   -2.6834   -2.3286  -24.0582
   -30.000   -1.8800   -2.5156   -2.1799  -24.3925
   -29.000   -1.7577   -2.3538   -2.0364  -24.7392
   -28.000   -1.6397   -2.1978   -1.8982  -25.0988
   -27.000   -1.5261   -2.0477   -1.7652  -25.4719
   -26.000   -1.4167   -1.9034   -1.6373  -25.8593
   -25.000   -1.3115   -1.7649   -1.5145  -26.2618
   -24.000   -1.2106   -1.6320   -1.3967  -26.6804
   -23.000   -1.1138   -1.5049   -1.2839  -27.1161
   -22.000   -1.0212   -1.3833   -1.1761  -27.5701
   -21.000   -0.9327   -1.2674   -1.0732  -28.0439
   -20.000   -0.8483   -1.1570   -0.9752  -28.5391
   -19.000   -0.7680   -1.0520   -0.8820  -29.0577
   -18.000   -0.6918   -0.9526   -0.7936  -29.6019
   -17.000   -0.6196   -0.8585   -0.7100  -30.0000
   -16.000   -0.5515   -0.7699   -0.6312  -30.0000
   -15.000   -0.4873   -0.6866   -0.5571  -30.0000
   -14.000   -0.4272   -0.6086   -0.4877  -30.0000
   -13.000   -0.3711   -0.5360   -0.4229  -30.0000
   -12.000   -0.3190   -0.4686   -0.3629  -30.0000
